timestamp,open,high,low,close
2022-02-25 15:00:00,90.57300,90.58500,90.32500,90.37100
2022-02-25 16:00:00,90.37200,90.75800,90.31000,90.70100
2022-02-25 17:00:00,90.70500,90.76800,90.63000,90.73700
2022-02-25 18:00:00,90.74000,90.79200,90.67000,90.75700
2022-02-25 19:00:00,90.76000,90.85700,90.72800,90.81000
2022-02-25 20:00:00,90.81000,90.94500,90.77000,90.93900
2022-02-25 21:00:00,90.93800,90.98500,90.81800,90.96500
2022-02-27 23:00:00,90.20600,90.79500,90.16000,90.52700
2022-02-28 00:00:00,90.52400,90.81100,90.39100,90.61000
2022-02-28 01:00:00,90.60700,90.69300,90.46900,90.54000
2022-02-28 02:00:00,90.54400,90.59900,90.36000,90.37900
2022-02-28 03:00:00,90.38000,90.39000,90.16000,90.25600
2022-02-28 04:00:00,90.26100,90.28400,90.14500,90.19400
2022-02-28 05:00:00,90.19200,90.31500,90.16700,90.23900
2022-02-28 06:00:00,90.23800,90.36400,90.17800,90.35400
2022-02-28 07:00:00,90.36000,90.42000,90.28400,90.37000
2022-02-28 08:00:00,90.38200,90.53600,90.34600,90.43600
2022-02-28 09:00:00,90.43000,90.50300,90.36200,90.44300
2022-02-28 10:00:00,90.44400,90.55100,90.42200,90.49000
2022-02-28 11:00:00,90.48000,90.72600,90.47200,90.72400
2022-02-28 12:00:00,90.72500,90.76400,90.54300,90.59600
2022-02-28 13:00:00,90.59300,90.81300,90.58000,90.72500
2022-02-28 14:00:00,90.72500,90.76000,90.52000,90.58900
2022-02-28 15:00:00,90.58700,90.71900,90.54000,90.71900
2022-02-28 16:00:00,90.71800,91.00600,90.64000,90.80600
2022-02-28 17:00:00,90.80700,90.99800,90.71200,90.91800
2022-02-28 18:00:00,90.91900,90.92600,90.66400,90.71600
2022-02-28 19:00:00,90.72500,90.74900,90.53800,90.56000
2022-02-28 20:00:00,90.56700,90.57300,90.42500,90.54300
2022-02-28 21:00:00,90.54400,90.72500,90.46000,90.66900
2022-02-28 22:00:00,90.66800,90.74800,90.62400,90.66800
2022-02-28 23:00:00,90.66800,90.75700,90.66700,90.72000
2022-03-01 00:00:00,90.70200,90.85400,90.67900,90.84200
2022-03-01 01:00:00,90.84700,90.95900,90.71800,90.93000
2022-03-01 02:00:00,90.93000,90.95900,90.84800,90.88100
2022-03-01 03:00:00,90.87000,90.92900,90.84300,90.90600
2022-03-01 04:00:00,90.90400,90.90700,90.75400,90.79800
2022-03-01 05:00:00,90.79600,90.87400,90.77700,90.85300
