timestamp,open,high,low,close
2022-02-28 02:00:00,0.71825,0.71940,0.71730,0.71800
2022-02-28 03:00:00,0.71810,0.71852,0.71650,0.71735
2022-02-28 04:00:00,0.71732,0.71802,0.71650,0.71753
2022-02-28 05:00:00,0.71751,0.71835,0.71720,0.71804
2022-02-28 06:00:00,0.71800,0.71855,0.71720,0.71826
2022-02-28 07:00:00,0.71826,0.71942,0.71790,0.71863
2022-02-28 08:00:00,0.71840,0.72060,0.71830,0.72026
2022-02-28 09:00:00,0.72032,0.72057,0.71850,0.71972
2022-02-28 10:00:00,0.71972,0.72050,0.71900,0.71998
2022-02-28 11:00:00,0.71980,0.72208,0.71960,0.72202
2022-02-28 12:00:00,0.72201,0.72218,0.72060,0.72151
2022-02-28 13:00:00,0.72149,0.72267,0.72110,0.72214
2022-02-28 14:00:00,0.72215,0.72318,0.72130,0.72318
2022-02-28 15:00:00,0.72317,0.72455,0.72260,0.72350
2022-02-28 16:00:00,0.72372,0.72575,0.72320,0.72565
2022-02-28 17:00:00,0.72565,0.72640,0.72410,0.72590
2022-02-28 18:00:00,0.72605,0.72643,0.72450,0.72510
2022-02-28 19:00:00,0.72518,0.72573,0.72470,0.72560
2022-02-28 20:00:00,0.72570,0.72648,0.72410,0.72634
2022-02-28 21:00:00,0.72633,0.72647,0.72520,0.72610
2022-02-28 22:00:00,0.72610,0.72656,0.72560,0.72616
2022-02-28 23:00:00,0.72612,0.72632,0.72560,0.72591
2022-03-01 00:00:00,0.72595,0.72677,0.72550,0.72584
2022-03-01 01:00:00,0.72583,0.72611,0.72500,0.72532
2022-03-01 02:00:00,0.72520,0.72663,0.72500,0.72570
2022-03-01 03:00:00,0.72597,0.72678,0.72540,0.72630
2022-03-01 04:00:00,0.72640,0.72641,0.72440,0.72520
2022-03-01 05:00:00,0.72519,0.72613,0.72480,0.72596
2022-03-01 06:00:00,0.72601,0.72664,0.72540,0.72643
2022-03-01 07:00:00,0.72642,0.72781,0.72600,0.72777
2022-03-01 08:00:00,0.72777,0.72899,0.72730,0.72842
2022-03-01 09:00:00,0.72842,0.72864,0.72720,0.72841
2022-03-01 10:00:00,0.72846,0.72866,0.72660,0.72734
