<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200118,00:05:00,1.3015000,1.3015000,1.3011000,1.3014000,2995
20200118,00:10:00,1.3014000,1.3014000,1.3011000,1.3013000,2403
20200118,00:15:00,1.3013000,1.3013000,1.3010000,1.3012000,1721
20200118,00:20:00,1.3012000,1.3012000,1.3009000,1.3011000,2119
20200118,00:25:00,1.3011000,1.3011000,1.3008000,1.3011000,1090
20200118,00:30:00,1.3011000,1.3011000,1.3007000,1.3009000,1654
20200118,00:35:00,1.3010000,1.3010000,1.3006000,1.3009000,5599
20200118,00:40:00,1.3009000,1.3012000,1.3007000,1.3010000,2014
20200118,00:45:00,1.3010000,1.3012000,1.3007000,1.3011000,1894
20200118,00:50:00,1.3011000,1.3012000,1.3007000,1.3010000,2555
20200118,00:55:00,1.3010000,1.3013000,1.3008000,1.3010000,2455
20200118,01:00:00,1.3010000,1.3010000,1.3004000,1.3006000,2818
20200118,01:05:00,1.3014000,1.3014000,1.3008000,1.3008000,2
20200119,21:05:00,1.2999000,1.3001000,1.2995000,1.2997000,20
20200119,21:10:00,1.2999000,1.2999000,1.2997000,1.2997000,8
20200119,21:15:00,1.2999000,1.2999000,1.2992000,1.2993000,15
20200119,21:20:00,1.2991000,1.2993000,1.2986000,1.2989000,20
20200119,21:25:00,1.2989000,1.2991000,1.2984000,1.2984000,22
20200119,21:30:00,1.2986000,1.2987000,1.2980000,1.2984000,27
20200119,21:35:00,1.2982000,1.2997000,1.2982000,1.2993000,15
20200119,21:40:00,1.2993000,1.2999000,1.2992000,1.2992000,16
20200119,21:45:00,1.2995000,1.2995000,1.2992000,1.2992000,15
20200119,21:50:00,1.2992000,1.2994000,1.2992000,1.2992000,6
20200119,21:55:00,1.2994000,1.2997000,1.2992000,1.2992000,8
20200119,22:00:00,1.2993000,1.2995000,1.2992000,1.2994000,15
20200119,22:05:00,1.2992000,1.2994000,1.2992000,1.2992000,8
20200119,22:10:00,1.2992000,1.2994000,1.2990000,1.2992000,8
20200119,22:15:00,1.2992000,1.2992000,1.2992000,1.2992000,5
20200119,22:20:00,1.2992000,1.2992000,1.2992000,1.2992000,5
20200119,22:25:00,1.2992000,1.2992000,1.2990000,1.2992000,7
20200119,22:30:00,1.2992000,1.2992000,1.2992000,1.2992000,5
20200119,22:35:00,1.2992000,1.2994000,1.2992000,1.2992000,7
20200119,22:40:00,1.2992000,1.2992000,1.2992000,1.2992000,6
20200119,22:45:00,1.2992000,1.2994000,1.2991000,1.2993000,18
20200119,22:50:00,1.2992000,1.2994000,1.2991000,1.2994000,13
20200119,22:55:00,1.2993000,1.2994000,1.2991000,1.2993000,16
20200119,23:00:00,1.2993000,1.2994000,1.2990000,1.2994000,16
20200119,23:05:00,1.2993000,1.2993000,1.2993000,1.2993000,6
20200119,23:10:00,1.2993000,1.2994000,1.2990000,1.2992000,11
20200119,23:15:00,1.2992000,1.2992000,1.2985000,1.2992000,16
20200119,23:20:00,1.2987000,1.2994000,1.2987000,1.2992000,17
20200119,23:25:00,1.2992000,1.2992000,1.2989000,1.2989000,9
20200119,23:30:00,1.2993000,1.2993000,1.2993000,1.2993000,2
20200119,23:45:00,1.2993000,1.2997000,1.2992000,1.2996000,11
20200119,23:50:00,1.2994000,1.2997000,1.2994000,1.2995000,11
20200119,23:55:00,1.2995000,1.2995000,1.2994000,1.2994000,7
20200120,00:00:00,1.2994000,1.2994000,1.2994000,1.2994000,5
20200120,00:05:00,1.2995000,1.2997000,1.2995000,1.2997000,3
