<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200117,02:15:00,1.3078000,1.3079000,1.3075000,1.3077000,1579
20200117,02:20:00,1.3077000,1.3078000,1.3075000,1.3078000,1155
20200117,02:25:00,1.3078000,1.3079000,1.3075000,1.3078000,1860
20200117,02:30:00,1.3077000,1.3079000,1.3076000,1.3077000,2174
20200117,02:35:00,1.3078000,1.3078000,1.3075000,1.3077000,1938
20200117,02:40:00,1.3077000,1.3078000,1.3075000,1.3077000,1183
20200117,02:45:00,1.3078000,1.3078000,1.3075000,1.3077000,2292
20200117,02:50:00,1.3077000,1.3079000,1.3075000,1.3078000,2372
20200117,02:55:00,1.3078000,1.3079000,1.3075000,1.3077000,2516
20200117,03:00:00,1.3077000,1.3078000,1.3074000,1.3076000,2511
20200117,03:05:00,1.3077000,1.3077000,1.3073000,1.3076000,3405
20200117,03:10:00,1.3076000,1.3077000,1.3073000,1.3076000,1925
20200117,03:15:00,1.3076000,1.3079000,1.3075000,1.3077000,3021
20200117,03:20:00,1.3077000,1.3077000,1.3074000,1.3077000,2703
20200117,03:25:00,1.3077000,1.3077000,1.3074000,1.3077000,2275
20200117,03:30:00,1.3077000,1.3077000,1.3074000,1.3076000,1318
20200117,03:35:00,1.3076000,1.3077000,1.3074000,1.3077000,1400
20200117,03:40:00,1.3077000,1.3078000,1.3075000,1.3078000,2948
20200117,03:45:00,1.3078000,1.3078000,1.3075000,1.3077000,3276
20200117,03:50:00,1.3077000,1.3078000,1.3074000,1.3077000,3532
20200117,03:55:00,1.3077000,1.3077000,1.3070000,1.3072000,6293
20200117,04:00:00,1.3072000,1.3076000,1.3070000,1.3075000,5207
20200117,04:05:00,1.3075000,1.3076000,1.3072000,1.3076000,2676
20200117,04:10:00,1.3076000,1.3078000,1.3074000,1.3076000,2105
20200117,04:15:00,1.3077000,1.3077000,1.3072000,1.3074000,2298
20200117,04:20:00,1.3075000,1.3076000,1.3072000,1.3074000,2213
20200117,04:25:00,1.3073000,1.3075000,1.3070000,1.3072000,2769
20200117,04:30:00,1.3072000,1.3073000,1.3069000,1.3071000,2208
